"source_path","target_path","http_status","reason"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+videotelefony-a-kukatka+veria-7091b-bily-lcd-monitor-videotelefonu","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20videotelefony-a-kukatka%20veria-7091b-bily-lcd-monitor-videotelefonu","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zahrada+prislusenstvo-k-bazenom","/vyhladavanie?q=dom-a-zahrada%20zahrada%20prislusenstvo-k-bazenom","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zahradny-nabytok+lapace-hmyzu","/vyhladavanie?q=dom-a-zahrada%20zahradny-nabytok%20lapace-hmyzu","301","legacy-search"
"/catalogsearch/result/?q=domove+alarmy","/vyhladavanie?q=domove%20alarmy","301","legacy-search"
"/catalogsearch/result/?q=doplnky","/vyhladavanie?q=doplnky","301","legacy-search"
"/catalogsearch/result/?q=doplnky+do+vody","/vyhladavanie?q=doplnky%20do%20vody","301","legacy-search"
"/catalogsearch/result/?q=doplnky+ku+kufrom","/vyhladavanie?q=doplnky%20ku%20kufrom","301","legacy-search"
"/catalogsearch/result/?q=doplnky+pre+domacnost","/vyhladavanie?q=doplnky%20pre%20domacnost","301","legacy-search"
"/catalogsearch/result/?q=doplnky+pre+maznacikov","/vyhladavanie?q=doplnky%20pre%20maznacikov","301","legacy-search"
"/catalogsearch/result/?q=drevene+modely","/vyhladavanie?q=drevene%20modely","301","legacy-search"
"/catalogsearch/result/?q=drvice","/vyhladavanie?q=drvice","301","legacy-search"
"/catalogsearch/result/?q=dvb+c+tunery","/vyhladavanie?q=dvb%20c%20tunery","301","legacy-search"
"/catalogsearch/result/?q=elektricke+panvice","/vyhladavanie?q=elektricke%20panvice","301","legacy-search"
"/catalogsearch/result/?q=elektricke+sporaky","/vyhladavanie?q=elektricke%20sporaky","301","legacy-search"
"/catalogsearch/result/?q=elektronika+pre+zdravie","/vyhladavanie?q=elektronika%20pre%20zdravie","301","legacy-search"
"/catalogsearch/result/?q=epilatory+a+depilatory","/vyhladavanie?q=epilatory%20a%20depilatory","301","legacy-search"
"/catalogsearch/result/?q=feny","/vyhladavanie?q=feny","301","legacy-search"
"/catalogsearch/result/?q=figurky","/vyhladavanie?q=figurky","301","legacy-search"
"/catalogsearch/result/?q=fitness","/vyhladavanie?q=fitness","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+optoma-3861rk-ifpd-86-interaktivni-dotykovy-4k-uhd-multidotyk-20prstu-android-antireflexni-tvrzene-sklo","/vyhladavanie?q=foto-a-video-technika%20optoma-3861rk-ifpd-86-interaktivni-dotykovy-4k-uhd-multidotyk-20prstu-android-antireflexni-tvrzene-sklo","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+optoma-op861rke-ifpd-86-interaktivni-dotykovy-4k-uhd-multidotyk-20prstu-android-antireflexni-tvrzene-sklo","/vyhladavanie?q=foto-a-video-technika%20optoma-op861rke-ifpd-86-interaktivni-dotykovy-4k-uhd-multidotyk-20prstu-android-antireflexni-tvrzene-sklo","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+optoma-projektor-zu500tst-white-dlp-laser-full-3d-wuxga-5-000-ansi-300-000-1-vga-hdmi-2x10w-speaker","/vyhladavanie?q=foto-a-video-technika%20optoma-projektor-zu500tst-white-dlp-laser-full-3d-wuxga-5-000-ansi-300-000-1-vga-hdmi-2x10w-speaker","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+pamatove-karty+compactflash-i+pretec-compactflash-card-1gb-type-i-industrial-series-slc-chips","/vyhladavanie?q=foto-a-video-technika%20pamatove-karty%20compactflash-i%20pretec-compactflash-card-1gb-type-i-industrial-series-slc-chips","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+prislusenstvo-k-fotoaparatom+selfie-tyce","/vyhladavanie?q=foto-a-video-technika%20prislusenstvo-k-fotoaparatom%20selfie-tyce","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+1200","/vyhladavanie?q=foto-a-video-technika%20projektory%201200","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+15000","/vyhladavanie?q=foto-a-video-technika%20projektory%2015000","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+1800","/vyhladavanie?q=foto-a-video-technika%20projektory%201800","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+3000","/vyhladavanie?q=foto-a-video-technika%20projektory%203000","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+3600","/vyhladavanie?q=foto-a-video-technika%20projektory%203600","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+4400","/vyhladavanie?q=foto-a-video-technika%20projektory%204400","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+800","/vyhladavanie?q=foto-a-video-technika%20projektory%20800","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-1000lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-1000lm","301","legacy-search"
